* NodeId || InDegree(CiteCnt) || pageRank || pageRankNormalized || betweenness || nodeName
15 || 1 || 0.067462734852159 || 1.6865683713039752 || 0.0 || Node 15
13 || 1 || 0.03654227971520448 || 0.913556992880112 || 0.0 || Node 13
14 || 2 || 0.06760321747312828 || 1.690080436828207 || 0.0 || Node 14
11 || 1 || 0.04972890487200285 || 1.2432226218000713 || 0.0 || Node 11
12 || 2 || 0.062452422859304635 || 1.5613105714826159 || 0.0 || Node 12
3 || 1 || 0.02479847710463154 || 0.6199619276157885 || 0.0 || Node 3
2 || 1 || 0.0348199461285448 || 0.87049865321362 || 0.0 || Node 2
1 || 3 || 0.1151250530665521 || 2.8781263266638026 || 0.0 || Node 1
10 || 2 || 0.07086368944260404 || 1.771592236065101 || 0.0 || Node 10
7 || 2 || 0.055954730699145985 || 1.3988682674786497 || 0.0 || Node 7
6 || 2 || 0.08759980986545235 || 2.189995246636309 || 0.0 || Node 6
5 || 2 || 0.0938673214028849 || 2.3466830350721226 || 0.0 || Node 5
4 || 2 || 0.06946750032275317 || 1.7366875080688293 || 0.0 || Node 4
9 || 1 || 0.07023413602621338 || 1.7558534006553346 || 0.0 || Node 9
8 || 2 || 0.09347977616941845 || 2.3369944042354613 || 0.0 || Node 8
